run, mem_length, lr, activation, hidden_layer_size, data_extraction_size, block_count, mean, std
0, 1000, 0.001, elu, 20, 10, 1, 5183.022874280391, inf
2, 1000, 1e-08, relu, 20, 20, 2, 7307.500440711842, inf
3, 5000, 1e-09, relu, 50, 100, 18, 165124.73249829595, inf
4, 5000, 1e-05, tanh, 20, 75, 1, 5174.477464573388, inf
5, 500, 1e-08, elu, 50, 2000, 2, 5368.947873814402, inf
6, 1000, 0.0001, relu, 100, 300, 10, 844739.9387630522, inf
7, 100, 1e-09, elu, 125, 20, 30, 429203.8637492053, inf
8, 2000, 0.0001, tanh, 20, 2000, 15, 4499.675603119139, inf
9, 5000, 1e-07, tanh, 50, 100, 5, 6324.755900743582, inf
11, 500, 0.01, tanh, 100, 50, 25, 903044.9182235223, inf
13, 500, 0.0001, tanh, 500, 500, 30, 4588.452798249918, inf
14, 5000, 1e-05, tanh, 50, 1000, 12, 4497.8669534940045, inf
15, 500, 1e-08, elu, 50, 125, 30, 5950607.670433904, inf
16, 500, 1e-05, elu, 20, 10, 5, 1873.8129472517514, inf
19, 5000, 1e-06, elu, 75, 20, 20, 7617.339247244854, inf
1, 100, 1e-09, elu, 10, 200, 50, 266447709.38638243, inf
2, 100, 1e-07, elu, 200, 50, 18, 1999.0700702391525, inf
5, 200, 1e-06, relu, 50, 1000, 30, 169074.51120782673, inf
8, 1000, 1e-05, elu, 50, 75, 12, 2696.266470057375, inf
10, 1000, 1e-05, tanh, 20, 100, 30, 1714.7102403835331, inf
0, 2000, 1e-07, tanh, 10, 75, 50, 521.4704980430921, inf
5, 500, 1e-06, tanh, 1000, 300, 30, 2482.2578306125693, 3436.425981073899
7, 5000, 1e-06, tanh, 200, 10, 15, 5590.105273153716, 788.358142820522
8, 100, 1e-06, tanh, 75, 500, 50, 2201.524510652085, 1093.7130143810386
0, 5000, 1e-06, tanh, 125, 500, 30, 2018.6736827774664, 522.271293206341
0, 1000, 1e-05, tanh, 75, 500, 1, 1585.6872697668066, 317.22812982672656
2, 2000, 1e-07, tanh, 200, 5000, 12, 1099.613902784127, 405.0880262848078
0, 1000, 1e-05, tanh, 75, 500, 1, 1585.6872697668066, 317.22812982672656
2, 2000, 1e-07, tanh, 200, 5000, 12, 1099.613902784127, 405.0880262848078
3, 5000, 1e-09, tanh, 300, 75, 50, 4764.702629320155, 534.1101777483167
1, 1000, 1e-07, elu, 125, 300, 15, 1309.3496041294022, 295.3281492853292
3, 100, 1e-08, tanh, 125, 2000, 2, 3353.895933246937, 252.48755255360024
5, 5000, 1e-08, tanh, 300, 125, 10, 2335.5829648311733, 321.23384517875684
0, 5000, 1e-08, tanh, 300, 500, 1, 571.1644077131208, 205.22395798918927
1, 500, 1e-05, tanh, 200, 5000, 2, 1522.5648765296373, 1991.0801500417856
0, 100, 1e-06, relu, 10, 10, 25, 1912.3410222868497, 890.2690454354268
10, 5000, 1e-08, elu, 50, 10, 38, 2689906.475078782, 1582009.4958354896
1, 100, 0.0001, tanh, 300, 125, 10, 4161.231754835071, 2951.4387602665765
1, 100, 1e-08, elu, 300, 125, 38, 383031.66945915815, inf
3, 100, 1e-06, tanh, 75, 2000, 18, 1576.212057648758, inf
4, 200, 1e-06, elu, 200, 5000, 38, 3540255.9343161797, inf
5, 100, 0.001, elu, 500, 1000, 12, 379.10406031383684, inf
6, 2000, 1e-08, elu, 1000, 1000, 20, 7364.438189578763, inf
9, 5000, 1e-09, tanh, 50, 1000, 12, 4293.110756269116, inf
11, 1000, 1e-09, tanh, 1000, 75, 30, 3065.7054414744043, inf
12, 1000, 1e-05, elu, 10, 75, 15, 4320.676805443812, inf
14, 500, 1e-07, relu, 100, 50, 15, 34251.56796527545, inf
15, 5000, 1e-06, elu, 75, 125, 25, 1542.2368272205488, inf
17, 2000, 0.0001, relu, 200, 75, 5, 1130.2065666361561, inf
21, 5000, 1e-08, tanh, 20, 50, 12, 746.0491485732003, inf
24, 5000, 1e-08, relu, 125, 20, 5, 6356.788207837566, inf
25, 100, 0.0001, tanh, 100, 2000, 38, 1115.763621957226, inf
27, 1000, 1e-07, relu, 1000, 5000, 5, 417.60334195856296, inf
28, 5000, 1e-06, tanh, 125, 200, 15, 6699.235627330756, inf
30, 2000, 1e-08, tanh, 300, 2000, 25, 3062.586137866294, inf
32, 2000, 0.001, relu, 50, 1000, 25, 102552.65010068755, inf
33, 100, 1e-05, elu, 100, 100, 20, 220183277.75184923, inf
36, 2000, 1e-06, elu, 125, 125, 30, 2401.880020961786, inf
38, 2000, 0.0001, elu, 500, 75, 1, 27.656915786149888, inf
39, 5000, 1e-05, elu, 75, 5000, 12, 4751.130149861598, inf
40, 5000, 1e-08, elu, 75, 1000, 12, 3325.6457422632466, inf
41, 100, 1e-06, elu, 125, 2000, 5, 5271.562188920496, inf
42, 200, 1e-09, tanh, 200, 5000, 2, 124.86143584818949, inf
43, 100, 1e-08, relu, 75, 125, 5, 622.9276367633009, inf
45, 1000, 0.001, tanh, 10, 5000, 50, 224.00884167092065, inf
48, 2000, 0.0001, elu, 100, 125, 30, 1715351.964899194, inf
52, 5000, 1e-05, elu, 50, 125, 38, 3440.10713981987, inf
53, 200, 1e-06, tanh, 50, 75, 2, 1367.8322740058823, inf
54, 1000, 1e-08, relu, 50, 1000, 38, 39562524.022115834, inf
56, 200, 1e-09, elu, 200, 100, 20, 1561.464818404631, inf
59, 1000, 1e-07, elu, 10, 2000, 38, 80611496.04480359, inf
60, 2000, 1e-05, elu, 500, 100, 20, 5728.652519375799, inf
61, 1000, 1e-09, tanh, 10, 50, 10, 572.3561902120101, inf
62, 100, 1e-08, elu, 50, 10, 20, 19287.274468799136, inf
65, 1000, 1e-07, tanh, 50, 125, 10, 75.77618098743449, inf
66, 100, 0.001, tanh, 1000, 50, 1, 5728.835640393022, inf
67, 500, 1e-09, tanh, 10, 125, 30, 3973.6066691762503, inf
68, 500, 1e-08, tanh, 1000, 200, 50, 970.49385980279, inf
69, 1000, 1e-09, tanh, 50, 200, 25, 2411.5172195890095, inf
70, 5000, 1e-05, relu, 75, 50, 12, 8795577294.444643, inf
71, 500, 1e-07, elu, 20, 75, 7, 8068.355797145914, inf
74, 100, 1e-07, tanh, 50, 20, 7, 6020.637594065574, inf
78, 200, 1e-05, relu, 200, 500, 25, 3764.79834721325, inf
79, 500, 1e-07, relu, 200, 100, 30, 2863.223514318877, inf
81, 500, 1e-08, elu, 1000, 75, 18, 2400.5889080454654, inf
85, 5000, 1e-06, relu, 100, 20, 25, 4221647.1108702365, inf
86, 5000, 0.001, tanh, 100, 1000, 5, 330.9424885531257, inf
87, 5000, 1e-08, tanh, 300, 5000, 5, 2052.401551881332, inf
88, 200, 1e-05, relu, 500, 100, 2, 2838.7570953365102, inf
94, 100, 0.001, relu, 1000, 300, 2, 5937.991188370158, inf
95, 1000, 1e-06, elu, 200, 10, 20, 2860.2110896417707, inf
98, 1000, 1e-05, tanh, 125, 1000, 50, 496.13503732940836, inf
99, 200, 1e-07, elu, 300, 75, 12, 2948.3563616891884, inf
0, 5000, 0.0001, elu, 10, 1000, 15, 2189.432615451842, inf
1, 5000, 1e-09, elu, 10, 500, 7, 2952.3298634899834, inf
2, 100, 1e-09, relu, 20, 75, 30, 6382313.554295532, inf
3, 200, 1e-07, tanh, 125, 500, 5, 3022.591108196497, inf
4, 500, 0.0001, relu, 20, 1000, 5, 1419958230561145.5, inf
5, 500, 1e-09, relu, 500, 2000, 7, 4347.378687495136, inf
6, 200, 0.0001, tanh, 200, 2000, 50, 4168.378996021987, inf
7, 200, 1e-08, tanh, 200, 5000, 25, 4050.6307890517783, inf
8, 100, 1e-08, relu, 20, 20, 38, 3693510.647576454, inf
9, 1000, 0.001, tanh, 20, 300, 30, 7110.061477344943, inf
10, 2000, 0.001, relu, 10, 75, 5, 27.20912942351347, inf
11, 500, 0.001, relu, 200, 1000, 2, 8.780327037486193e+28, inf
12, 100, 1e-09, tanh, 1000, 200, 20, 1006.0264720139342, inf
13, 200, 0.0001, tanh, 50, 20, 50, 5605.125430205543, inf
14, 5000, 1e-07, elu, 125, 125, 20, 6632.411874228862, inf
15, 2000, 0.0001, elu, 20, 10, 25, 3765.862640800331, inf
16, 2000, 1e-05, elu, 75, 50, 1, 6217.918903014292, inf
17, 100, 1e-09, tanh, 300, 200, 12, 4546.193152498127, inf
18, 2000, 1e-08, relu, 500, 300, 7, 2581.4389888413657, inf
19, 100, 0.0001, tanh, 500, 20, 30, 4416.691919620835, inf
20, 5000, 1e-09, elu, 500, 200, 2, 2416.292257937586, inf
